"","farmer_num","village","treatment","survey","temp_c","humidity_percent","ground_cover_percent","ose_num","att_mil","yield","datetime","ose_num_adj","att_mil_adj"
"1","1","Gossas","control","s1",37.3,50,45,24,NA,NA,2019-09-04 16:27:00,20,NA
"2","1","Gossas","control","s2",33.5,60,55,14,0.05,NA,2019-09-21 11:05:00,12,0.0425
"3","1","Gossas","control","s3",34,69.2,55,29,NA,NA,2019-10-11 18:10:00,25,NA
"4","1","Gossas","control","s4",NA,NA,NA,NA,NA,279,NA,NA,NA
"5","1","Gossas","fertilized","s1",37.3,50,45,15,NA,NA,2019-09-04 16:27:00,13,NA
"6","1","Gossas","fertilized","s2",34,58,45,12,0.05,NA,2019-09-21 11:05:00,10,0.0425
"7","1","Gossas","fertilized","s3",34,69.2,45,15,NA,NA,2019-10-11 17:47:00,13,NA
"8","1","Gossas","fertilized","s4",NA,NA,NA,NA,NA,595,NA,NA,NA
"9","2","Gossas","control","s1",33,47,55,81,0.05,NA,2019-09-01 12:10:00,69,0.0425
"10","2","Gossas","control","s2",31,67.8,55,14,NA,NA,2019-09-21 09:20:00,12,NA
"11","2","Gossas","control","s3",33.5,68.4,55,20,0.05,NA,2019-10-11 09:20:00,17,0.0425
"12","2","Gossas","control","s4",NA,NA,NA,NA,NA,250,NA,NA,NA
"13","2","Gossas","fertilized","s1",33,47,45,28,0,NA,2019-09-01 12:10:00,24,0
"14","2","Gossas","fertilized","s2",31,67.8,45,30,NA,NA,2019-09-21 09:20:00,26,NA
"15","2","Gossas","fertilized","s3",33.7,68.5,45,6,0,NA,2019-10-11 09:03:00,5,0
"16","2","Gossas","fertilized","s4",NA,NA,NA,NA,NA,750,NA,NA,NA
"17","3","Gossas","control","s1",34.5,88,60,76,0.05,NA,2019-09-02 10:00:00,65,0.0425
"18","3","Gossas","control","s2",34.5,58.5,60,14,NA,NA,2019-09-21 09:55:00,12,NA
"19","3","Gossas","control","s3",33.8,66.7,60,41,0.1,NA,2019-10-11 08:17:00,35,0.085
"20","3","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","3","Gossas","fertilized","s1",35,78,50,49,0,NA,2019-09-02 10:00:00,42,0
"22","3","Gossas","fertilized","s2",34.5,58,50,20,0,NA,2019-09-21 10:01:00,17,0
"23","3","Gossas","fertilized","s3",33.8,66.7,50,15,0.05,NA,2019-10-11 08:36:00,13,0.0425
"24","3","Gossas","fertilized","s4",NA,NA,NA,NA,NA,200,NA,NA,NA
"25","4","Gossas","control","s1",36,61,45,59,0.05,NA,2019-09-03 11:38:00,50,0.0425
"26","4","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4","Gossas","fertilized","s1",36.3,62,40,21,NA,NA,2019-09-03 11:38:00,18,NA
"30","4","Gossas","fertilized","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4","Gossas","fertilized","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","4","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","5","Gossas","control","s1",32.4,51,55,18,NA,NA,2019-09-01 12:10:00,15,NA
"34","5","Gossas","control","s2",34.5,56,65,21,NA,NA,2019-09-21 12:10:00,18,NA
"35","5","Gossas","control","s3",34.5,56,65,47,0.15,NA,2019-10-11 12:10:00,40,0.1275
"36","5","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","5","Gossas","fertilized","s1",32,51,60,41,0.03,NA,2019-09-01 12:10:00,35,0.0255
"38","5","Gossas","fertilized","s2",34,57,50,47,NA,NA,2019-09-21 12:10:00,40,NA
"39","5","Gossas","fertilized","s3",34,57,50,21,0.05,NA,2019-10-11 12:10:00,18,0.0425
"40","5","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","6","Gossas","control","s1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","6","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","6","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","6","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","6","Gossas","fertilized","s1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6","Gossas","fertilized","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6","Gossas","fertilized","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","7","Gossas","control","s1",33.2,65.8,30,40,0.1,NA,2019-09-02 16:18:00,34,0.085
"50","7","Gossas","control","s2",35.4,56,45,32,NA,NA,2019-09-21 11:56:00,27,NA
"51","7","Gossas","control","s3",35.4,56,45,32,NA,NA,2019-10-12 11:56:00,27,NA
"52","7","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","7","Gossas","fertilized","s1",33.2,65.8,30,30,0.05,NA,2019-09-02 16:25:00,26,0.0425
"54","7","Gossas","fertilized","s2",35.4,56,30,17,NA,NA,2019-09-21 12:56:00,14,NA
