system:index,date,day,location,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,month,total_precipitation,year,.geo
1_20190101,2019-01-01T00:00:00,1.0,Point1,310.32794859852953,300.5084204037162,292.5709280409373,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190102,2019-01-02T00:00:00,2.0,Point1,308.71569585397197,300.5627784537067,294.32018013442143,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190103,2019-01-03T00:00:00,3.0,Point1,307.0030270587145,297.79893616715515,291.1661112669199,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190104,2019-01-04T00:00:00,4.0,Point1,303.1156128773464,295.2793626836059,289.81599289342194,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190105,2019-01-05T00:00:00,5.0,Point1,306.04396917974765,297.32881816986816,290.8617120090306,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190106,2019-01-06T00:00:00,6.0,Point1,305.33873735325096,296.97508647397495,290.9018937607002,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190107,2019-01-07T00:00:00,7.0,Point1,304.2525070687602,297.1337318019766,291.71964342815085,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190108,2019-01-08T00:00:00,8.0,Point1,307.90466036527994,297.39012752218224,288.8603940792958,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190109,2019-01-09T00:00:00,9.0,Point1,308.1341281071132,297.6153059424551,289.3813666218416,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190110,2019-01-10T00:00:00,10.0,Point1,304.0196056558835,295.74295260703457,289.32736848726177,1.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190111,2019-01-11T00:00:00,11.0,Point1,304.26103689359496,295.9239570558418,288.7082550062245,1.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190112,2019-01-12T00:00:00,12.0,Point1,308.6487755815751,297.84438469734766,289.63315378226076,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190113,2019-01-13T00:00:00,13.0,Point1,309.9226413503377,298.83686472244415,289.41002493988736,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190114,2019-01-14T00:00:00,14.0,Point1,309.8174308451495,299.3324709306168,290.99548882931714,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190115,2019-01-15T00:00:00,15.0,Point1,309.02030438185625,298.70959368153194,290.9055607836573,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190116,2019-01-16T00:00:00,16.0,Point1,308.16179111770117,298.2039266681992,290.95339592829356,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190117,2019-01-17T00:00:00,17.0,Point1,307.1313766010645,297.7861762505924,290.2875290494668,1.0,8.568167686462402E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190118,2019-01-18T00:00:00,18.0,Point1,303.80664242734247,296.70509006905934,290.68084826070407,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190119,2019-01-19T00:00:00,19.0,Point1,302.03676607125345,295.44448772335573,289.9212481649799,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190120,2019-01-20T00:00:00,20.0,Point1,304.0457239337814,295.17672398540964,287.90344885574126,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190121,2019-01-21T00:00:00,21.0,Point1,304.84978082561923,294.9425016359127,287.2172533998409,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190122,2019-01-22T00:00:00,22.0,Point1,304.0789821725942,294.9928120601033,287.16692918899804,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190123,2019-01-23T00:00:00,23.0,Point1,302.87868873156793,294.8896226844268,288.460439561534,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190124,2019-01-24T00:00:00,24.0,Point1,306.096609703244,296.7424555660128,289.30530149649826,1.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190125,2019-01-25T00:00:00,25.0,Point1,306.70511517961006,297.6134326482551,290.1282291402104,1.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190126,2019-01-26T00:00:00,26.0,Point1,307.8993695301814,298.92997716579725,291.52128445065006,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190127,2019-01-27T00:00:00,27.0,Point1,308.507517176726,300.04087641529054,292.70490515528496,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190128,2019-01-28T00:00:00,28.0,Point1,307.582683808278,298.9651506565668,291.5178913539275,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190129,2019-01-29T00:00:00,29.0,Point1,307.17520014587865,297.9343754329199,291.1606665052183,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190130,2019-01-30T00:00:00,30.0,Point1,307.6540005201122,297.01013474592304,288.8085748425483,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190131,2019-01-31T00:00:00,31.0,Point1,306.0831678944977,296.87343053690574,290.20235998539334,1.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190201,2019-02-01T00:00:00,1.0,Point1,307.4577933576028,297.0363555918638,289.19181797716516,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190202,2019-02-02T00:00:00,2.0,Point1,307.0251120356332,297.3888355423025,289.62187500655943,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190203,2019-02-03T00:00:00,3.0,Point1,307.5263780999456,297.70861301195714,290.38004555403364,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190204,2019-02-04T00:00:00,4.0,Point1,306.8556361397583,297.51969878883546,290.2564893361674,2.0,4.470348358154297E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190205,2019-02-05T00:00:00,5.0,Point1,307.7216022091369,298.07939792484177,290.12080786330785,2.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190206,2019-02-06T00:00:00,6.0,Point1,308.31895471747765,298.51479564668807,290.6161799190228,2.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190207,2019-02-07T00:00:00,7.0,Point1,308.21798337536046,299.06239681477757,292.0937251622604,2.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190208,2019-02-08T00:00:00,8.0,Point1,307.0636872785429,299.08877954953095,293.02216354652614,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
