farmer_num,village,treatment,yield,latitude,longitude,mission,temp_c,humidity_percent,ground_cover_percent,ose_num,att_mil,datetime,ose_num_adj,att_mil_adj
52,Gniby,control,95,16.05026638888889,-14.683490833333334,m2,26,83,30,23,0.1,2019-09-22T11:28:00Z,21,0.09000000000000001
52,Gniby,control,95,16.05026638888889,-14.683490833333334,m3,34.4,56,30,42,NA,2019-10-11T13:41:00Z,38,NA
59,Gniby,control,285,16.066861944444444,-14.683569722222222,m2,25,88,30,4,NA,2019-09-23T11:38:00Z,4,NA
59,Gniby,control,285,16.066861944444444,-14.683569722222222,m3,31,67,40,8,NA,2019-10-11T12:50:00Z,7,NA
65,Gniby,control,NA,16.083446388888888,-14.800241388888889,m2,34.5,58,70,28,NA,2019-09-24T17:34:00Z,25,NA
65,Gniby,control,NA,16.083446388888888,-14.800241388888889,m3,38,42,50,14,NA,2019-10-12T15:27:00Z,13,NA
66,Gniby,fertilized,600,16.050275833333334,-14.666747222222222,m2,25,88,50,12,NA,2019-09-23T11:58:00Z,11,NA
66,Gniby,fertilized,600,16.050275833333334,-14.666747222222222,m3,37.7,48.3,90,11,NA,2019-10-11T14:14:00Z,10,NA
67,Gniby,control,NA,16.00007111111111,-14.750240277777777,m2,31,64,50,17,NA,2019-09-24T14:32:00Z,15,NA
67,Gniby,control,NA,16.00007111111111,-14.750240277777777,m3,32.8,64,30,18,NA,2019-10-12T13:23:00Z,16,NA
81,Gniby,control,272,16.050227777777778,-14.583531944444445,m2,31,70,50,32,0.15,2019-09-23T13:32:00Z,29,0.135
81,Gniby,control,272,16.050227777777778,-14.583531944444445,m3,39,30,90,11,0.05,2019-10-11T17:55:00Z,10,0.045000000000000005
81,Gniby,fertilized,650,16.050227777777778,-14.583574166666667,m2,31,70,80,23,0.05,2019-09-23T13:40:00Z,21,0.045000000000000005
81,Gniby,fertilized,650,16.050227777777778,-14.583574166666667,m3,39,30,60,7,0.01,2019-10-11T17:49:00Z,6,0.009000000000000001
82,Gniby,control,250,16.100150555555558,-14.616790555555555,m2,29,78,80,12,NA,2019-09-23T11:26:00Z,11,NA
82,Gniby,control,250,16.100150555555558,-14.616790555555555,m3,37.6,42,90,36,NA,2019-10-11T17:25:00Z,32,NA
82,Gniby,fertilized,465,16.100150555555558,-14.583400833333334,m2,29,78,60,7,NA,2019-09-23T11:34:00Z,6,NA
82,Gniby,fertilized,465,16.100150555555558,-14.583400833333334,m3,38,42,80,28,NA,2019-10-11T17:13:00Z,25,NA
83,Gniby,control,370,16.066849166666668,-14.616767222222222,m2,29,76.8,60,13,NA,2019-09-24T12:13:00Z,12,NA
83,Gniby,control,370,16.066849166666668,-14.616767222222222,m3,36.5,44,90,18,NA,2019-10-12T16:48:00Z,16,NA
83,Gniby,fertilized,615,16.066849166666668,-14.633368333333333,m2,29,77,75,2,NA,2019-09-24T12:20:00Z,2,NA
83,Gniby,fertilized,615,16.066849166666668,-14.633368333333333,m3,36,46,75,13,NA,2019-10-12T16:40:00Z,12,NA
84,Gniby,control,270,16.03334527777778,-14.750266111111111,m2,29,73,30,19,NA,2019-09-22T22:43:00Z,17,NA
84,Gniby,control,270,16.03334527777778,-14.750266111111111,m3,34,59,59,26,0.1,2019-10-12T13:51:00Z,23,0.09000000000000001
85,Gniby,control,350,16.06691861111111,-14.816746111111112,m2,34.3,56,60,31,NA,2019-09-23T14:45:00Z,28,NA
85,Gniby,control,350,16.06691861111111,-14.816746111111112,m3,38.4,35.6,30,9,NA,2019-10-12T15:53:00Z,8,NA
86,Gniby,fertilized,500,16.050079722222222,-14.816770833333333,m2,34,57,60,8,NA,2019-09-23T15:59:00Z,7,NA
86,Gniby,fertilized,500,16.050079722222222,-14.816770833333333,m3,35,53,90,2,NA,2019-10-12T14:59:00Z,2,NA
91,Gniby,control,NA,16.05022472222222,-14.750155,m2,29.1,74,80,9,0.05,2019-09-25T11:51:00Z,8,0.045000000000000005
91,Gniby,control,NA,16.05022472222222,-14.750155,m3,38.9,37.5,15,37,0,2019-10-12T16:33:00Z,33,0
92,Gniby,fertilized,NA,16.03344027777778,-14.700000833333332,m2,NA,NA,NA,NA,NA,NA,NA,NA
92,Gniby,fertilized,NA,16.03344027777778,-14.700000833333332,m3,30,74,90,14,NA,2019-10-12T12:26:00Z,13,NA
94,Gniby,control,75,16.06693222222222,-14.68352638888889,m2,26,88,35,20,NA,2019-09-25T11:32:00Z,18,NA
94,Gniby,control,75,16.06693222222222,-14.68352638888889,m3,33.5,70,50,9,NA,2019-10-11T13:11:00Z,8,NA
95,Gniby,control,NA,16.000163055555557,-14.766673055555556,m2,30,71,50,10,NA,2019-09-25T13:07:00Z,9,NA
95,Gniby,control,NA,16.000163055555557,-14.766673055555556,m3,32,70,60,5,NA,2019-10-12T13:07:00Z,4,NA
100,Gniby,control,100,16.050055833333335,-14.783414722222222,m2,25,78,45,12,0.1,2019-09-24T11:17:00Z,11,0.09000000000000001
100,Gniby,control,100,16.050055833333335,-14.783414722222222,m3,25,78,45,3,0.1,2019-10-12T14:03:00Z,3,0.09000000000000001
